name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.38915885704285,0.8233374980555456
Ni01,Ni,0.025600899381675098,8.895,22.772,29.193710738500002,0.5577056054561981
Ir01,Ir,0.024510884051532653,22.51,55.174,28.6160733408,0.6088244363609324
Cu01,Cu,0.024961448206503523,8.949,22.338,28.047707830999997,0.5694941195285825
Fe01,Fe,0.025464022374777528,7.866,20.03,27.632026769599996,0.5732328221621895
Ni02,Ni,0.02598988195615514,8.895,23.118,27.190919834099994,0.588178097329685
Ir02,Ir,0.024700577521101733,22.51,55.601,26.576463596099998,0.6428632552348719
Cu02,Cu,0.024946921443736732,8.949,22.325,25.974513729999995,0.6018956887124937
Fe02,Fe,0.02544749555047038,7.866,20.017,25.534257905199993,0.6068497071685276
Ni03,Ni,0.025112984822934233,8.895,22.338,25.074608301599998,0.6213642149162947
Ir03,Ir,0.024719235895157707,22.51,55.643,24.431921686424996,0.6692967377528101
Cu03,Cu,0.024933512124259694,8.949,22.313,23.792429542199997,0.6410016407276493
Fe03,Fe,0.02535977625222477,7.866,19.948,23.322906444199994,0.6475032994288077
Ni04,Ni,0.02327599775154581,8.895,20.704,22.850620115399998,0.6594089928542305
Ir04,Ir,0.024877832074633496,22.51,56.0,22.180479740924998,0.7174244180755487
Cu04,Cu,0.024901106268856856,8.949,22.284,21.493145385799995,0.6891713652455309
Ni05,Ni,0.024472175379426645,8.895,21.768,20.964429976599998,0.7041563617584827
Ir05,Ir,0.02450510884051533,22.51,55.161,20.24546600142,0.7547446259531395
Cu05,Cu,0.025078779751927592,8.949,22.443,19.517045495199994,0.7380009193751229
Ni06,Ni,0.025700955593029793,8.895,22.861,18.932043998174997,0.7535237678406936
Ir06,Ir,0.02475832963127499,22.51,55.731,18.13897380515,0.8108778625755297
Cu06,Cu,0.0250262599173092,8.949,22.396,17.3473703898,0.7947117041850812
Ni07,Ni,0.025960652051714446,8.895,23.092,16.70526179025,0.8231575666025672
Ir07,Ir,0.025182141270546424,22.51,56.685,15.82585046742857,0.8892200077149869
Cu07,Cu,0.024941334227287965,8.949,22.32,14.946137304119999,0.8770872616124203
Ni08,Ni,0.02519280494659921,8.895,22.409,14.24051807508,0.9126549981511782
Ir08,Ir,0.02577965348733896,22.51,58.03,13.252514070766667,1.0014688820490196
Cu08,Cu,0.025031847133757962,8.949,22.401,12.239074010271427,1.0013639084191148
Ni09,Ni,0.024441821247892074,8.895,21.741,11.430157233471427,1.0538265690494661
Ir09,Ir,0.025175033318525098,22.51,56.669,10.3047846891,1.1752159520418322
Cu09,Cu,0.025058665772712038,8.949,22.425,9.10912764729,1.2198578830515672
Ni10,Ni,0.02596177627880832,8.895,23.093,8.057325191976922,1.3411385723500957
Ir10,Ir,0.024462461128387382,22.51,55.065,6.583002993456521,1.585772437967365
Cu10,Cu,0.024934629567549448,8.949,22.314,4.92446609875,1.830154792932388
SS02,SS_316,0.12862547288776796,7.93,102.0,1.2462322652346531,1.876816603714493
