name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,29.348828717381252,0.932077386475114
Ni01,Ni,0.025600899381675098,8.895,22.772,27.878218418050004,0.5804961991787505
Ir01,Ir,0.024510884051532653,22.51,55.174,27.164051331037506,0.6366374068859603
Cu01,Cu,0.024961448206503523,8.949,22.338,26.458255857550004,0.5960333480794084
Fe01,Fe,0.025464022374777528,7.866,20.03,25.938710732000004,0.6010320608721545
Ni02,Ni,0.02598988195615514,8.895,23.118,25.3851495436,0.6227058665321829
Ir02,Ir,0.024700577521101733,22.51,55.601,24.612929050050003,0.6840072174763387
Cu02,Cu,0.024946921443736732,8.949,22.325,23.852051158100004,0.6421694647339546
Fe02,Fe,0.02544749555047038,7.866,20.017,23.290365700250007,0.6494517782686081
Ni03,Ni,0.025112984822934233,8.895,22.338,22.70075220765,0.6714522297764797
Ir03,Ir,0.024719235895157707,22.51,55.643,21.8748916782,0.7332907856185197
Cu03,Cu,0.024933512124259694,8.949,22.313,21.046844174950003,0.7021808969220638
Fe03,Fe,0.02535977625222477,7.866,19.948,20.430578307700003,0.7130015260204737
Ni04,Ni,0.02327599775154581,8.895,20.704,19.8061125504,0.7247336279750212
Ir04,Ir,0.024877832074633496,22.51,56.0,18.917722382625005,0.8059787339893534
Cu04,Cu,0.024901106268856856,8.949,22.284,17.9963763717375,0.7755696383088733
Ni05,Ni,0.024472175379426645,8.895,21.768,17.27321504667,0.7974002481213082
Ir05,Ir,0.02450510884051533,22.51,55.161,16.284427290037502,0.8816766498077305
Cu05,Cu,0.025078779751927592,8.949,22.443,15.266355832530001,0.8649242908253738
Ni06,Ni,0.025700955593029793,8.895,22.861,14.423011675875003,0.9053349493111426
Ir06,Ir,0.02475832963127499,22.51,55.731,13.268191939365002,1.0097320600702044
Cu06,Cu,0.0250262599173092,8.949,22.396,12.0835341160875,1.0070764937287386
Ni07,Ni,0.025960652051714446,8.895,23.092,11.070862134255,1.079214254260262
Ir07,Ir,0.025182141270546424,22.51,56.685,9.649660096209377,1.2445624946990403
Cu07,Cu,0.024941334227287965,8.949,22.32,8.139678778157144,1.310994871105783
Ni08,Ni,0.02519280494659921,8.895,22.409,6.7708013777684215,1.5150300134944892
Ir08,Ir,0.02577965348733896,22.51,58.03,4.6695261576975,1.9551968349946034
Cu08,Cu,0.025031847133757962,8.949,22.401,2.284314619367647,1.940518761588048
Ni09,Ni,0.024441821247892074,8.895,21.741,0.7818526568970298,1.3251421494868083
Ir09,Ir,0.025175033318525098,22.51,56.669,0.13300833965198022,0.4889165039238077
Cu09,Cu,0.025058665772712038,8.949,22.425,0.03385354392178217,0.07882194120519191
Ni10,Ni,0.02596177627880832,8.895,23.093,0.030599979071287135,0.010986084214269767
Ir10,Ir,0.024462461128387382,22.51,55.065,0.03052545334158416,0.0007754231510245065
Cu10,Cu,0.024934629567549448,8.949,22.314,0.030525000000000004,0.0
SS02,SS_316,0.12862547288776796,7.93,102.0,0.030525000000000004,0.0
