name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.93067641971429,0.8825392956834914
Ni01,Ni,0.025600899381675098,8.895,22.772,30.598964968,0.5672140374398001
Ir01,Ir,0.024510884051532653,22.51,55.174,29.952971928000004,0.6289076229812792
Cu01,Cu,0.024961448206503523,8.949,22.338,29.316695848,0.579546215906515
Fe01,Fe,0.025464022374777528,7.866,20.03,28.851785314,0.5832597050902123
Ni02,Ni,0.02598988195615514,8.895,23.118,28.358062194000002,0.6006328500206315
Ir02,Ir,0.024700577521101733,22.51,55.601,27.668258838,0.6668305269638529
Cu02,Cu,0.024946921443736732,8.949,22.325,26.991650994,0.6152097872521308
Fe02,Fe,0.02544749555047038,7.866,20.017,26.496980752000002,0.6203019212782712
Ni03,Ni,0.025112984822934233,8.895,22.338,25.979987396000002,0.6372431451943121
Ir03,Ir,0.024719235895157707,22.51,55.643,25.2548733855,0.6953864801847736
Cu03,Cu,0.024933512124259694,8.949,22.313,24.532165636,0.6589965079093482
Fe03,Fe,0.02535977625222477,7.866,19.948,24.001398586,0.665938452907775
Ni04,Ni,0.02327599775154581,8.895,20.704,23.466734544,0.6796956209459585
Ir04,Ir,0.024877832074633496,22.51,56.0,22.705741172399996,0.7417938174163179
Cu04,Cu,0.024901106268856856,8.949,22.284,21.923124454,0.7140697848944471
Ni05,Ni,0.024472175379426645,8.895,21.768,21.320312771999998,0.731714879169254
Ir05,Ir,0.02450510884051533,22.51,55.161,20.497735434,0.7939349263742159
Cu05,Cu,0.025078779751927592,8.949,22.443,19.661967171,0.7641749195558939
Ni06,Ni,0.025700955593029793,8.895,22.861,18.988264581,0.7901576882691799
Ir06,Ir,0.02475832963127499,22.51,55.731,18.071431466,0.8617644461458658
Cu06,Cu,0.0250262599173092,8.949,22.396,17.1520798185,0.8405002200231759
Ni07,Ni,0.025960652051714446,8.895,23.092,16.4021251416,0.8713975770443593
Ir07,Ir,0.025182141270546424,22.51,56.685,15.369101706750001,0.9579175947404021
Cu07,Cu,0.024941334227287965,8.949,22.32,14.327972703,0.943895530314067
Ni08,Ni,0.02519280494659921,8.895,22.409,13.483604470285716,0.9894545430781343
Ir08,Ir,0.02577965348733896,22.51,58.03,12.2908923445,1.110270504803804
Cu08,Cu,0.025031847133757962,8.949,22.401,11.049128346666667,1.1220819133517541
Ni09,Ni,0.024441821247892074,8.895,21.741,10.033040305200002,1.2046988669941925
Ir09,Ir,0.025175033318525098,22.51,56.669,8.590756947473684,1.4002234816233692
Cu09,Cu,0.025058665772712038,8.949,22.425,6.989021377411764,1.5367274615387978
Ni10,Ni,0.02596177627880832,8.895,23.093,5.442986340000001,1.849289658335558
Ir10,Ir,0.024462461128387382,22.51,55.065,3.238313591464286,2.1233063359222757
Cu10,Cu,0.024934629567549448,8.949,22.314,1.2357253776237622,1.6284445601105493
SS02,SS_316,0.12862547288776796,7.93,102.0,0.10715399483168317,0.4457845305463875
